,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
0,Tue Jun 11 10:10:12 +0000 2024,0,@dwakkary @PT_Transjakarta kak mau nanya kira-kira dari cibubur ke rscm naik transjakarta berapa jam ya? mohon info ya kak,1800470580304719946,in,,0,0,0,casseix,Transjakarta
1,Tue Jun 11 10:10:08 +0000 2024,0,@PT_Transjakarta min tj yang lewat di halte benhil yang depan atmajaya itu apa aja ya min?,1800470563112272281,in,,0,0,0,hilsa_nafsah,Transjakarta
3,Tue Jun 11 10:07:06 +0000 2024,0,@PT_Transjakarta min rute dr halte pondok pinang ke cp dong min,1800469800768143616,in,,0,0,0,adddddx1,Transjakarta
4,Tue Jun 11 10:04:06 +0000 2024,0,@PT_Transjakarta halo kak mau nanya dong kalo dari halte plumpang mau ke daerah harapan indah bekasi apa bisa naik tije? Rute apa ya kalo memang bisa? Makasih,1800469047794147673,in,,0,0,0,banktand,Transjakarta
6,Tue Jun 11 10:01:16 +0000 2024,0,@PT_Transjakarta min klo dari stasiun palmerah nyambung TJ tujuan ke halte gelora bung karno rutenya gimna ya,1800468335131590894,in,Dowoon's heart,0,0,0,billyeojulge,Transjakarta
7,Tue Jun 11 10:00:33 +0000 2024,0,mau nanya aja ini mah emg boleh ya di jam tertentu kyk sore gini macetnya dibawah boleh lewat jalan layang tj koridor 13 ya min? @PT_Transjakarta @KejaksaanRI @Puspen_TNI https://t.co/qxywjrQnWg,1800468154445090917,in,,0,0,0,sebenernyatau,Transjakarta
8,Tue Jun 11 09:59:47 +0000 2024,0,@PT_Transjakarta min kalo dari stasiun kebayoran nyambung TJ tujuan ke halte gelora bung karno rutenya gimna ya,1800467962396299342,in,Dowoon's heart,0,0,0,billyeojulge,Transjakarta
9,Tue Jun 11 09:57:26 +0000 2024,0,@PT_Transjakarta rute tj dr rempoa ke cp dong minn makasii,1800467371037237752,in,,0,0,0,adddddx1,Transjakarta
12,Tue Jun 11 09:49:03 +0000 2024,0,duh ngeblur platnya @PT_Transjakarta coba min diberitahukan kpd ybs @Puspen_TNI https://t.co/8y4ehlgYU1,1800465260698325146,in,,0,1,0,sebenernyatau,Transjakarta
17,Tue Jun 11 09:26:04 +0000 2024,0,@PT_Transjakarta Min 1B beroperasi ngak ?,1800459476895699358,in,,0,0,0,NWati140,Transjakarta
20,Tue Jun 11 09:16:14 +0000 2024,0,@akubermoral @PT_Transjakarta waktunya balik ke jatibening jadi anak elarti,1800457001736298878,in,"Big Hut, Formery, WJ",0,0,0,pablomarcobarr,Transjakarta
22,Tue Jun 11 09:07:16 +0000 2024,0,@PT_Transjakarta mikrotrans belum semuanya ada live location nih?? tolong dong semuanya ada live location supaya hidup ini lebih indah ,1800454745280430329,in,Jkt,0,0,0,_FayRuth,Transjakarta
24,Tue Jun 11 09:06:41 +0000 2024,0,@PT_Transjakarta Minnn cdm ak,1800454596122624272,in,soshum,0,0,0,4ffowofie,Transjakarta
28,Tue Jun 11 08:57:44 +0000 2024,0,@PT_Transjakarta halo mau info ini kok halte kebon jeruk bis no.8 ke arah pasar baru lama sekali yaa jm 3 sampe jm 6 aan sy tunggu sampe 15 mins baru ada tolong di evaluasi,1800452345593282995,in,,0,1,0,chik_tiks,Transjakarta
29,Tue Jun 11 08:55:34 +0000 2024,0,@PT_Transjakarta miminnn tolonkk cdm akkkkkkk plss plsss urgentt,1800451801529065580,in,Jakarta Capital Region,0,0,0,i99marks_,Transjakarta
30,Tue Jun 11 08:51:30 +0000 2024,0,@PT_Transjakarta min cek dm ya,1800450776659325420,in,Jakarta Capital Region,0,1,0,i99marks_,Transjakarta
31,Tue Jun 11 08:47:41 +0000 2024,0,@PT_Transjakarta Kak kalau dilihat dari situasi lalu lintasnya lebih baik transit di halte velbak atau turun di csw lalu lanjut s21?,1800449817942069637,in,,0,1,0,nalaJoe1,Transjakarta
32,Tue Jun 11 08:45:50 +0000 2024,0,@PT_Transjakarta halo min kalo dari halte CSW yg ke ragunan naik koridor apa ya?,1800449350990209208,in,,0,3,0,kxgyyy,Transjakarta
35,Tue Jun 11 08:37:45 +0000 2024,0,Min @PT_Transjakarta rute dari perpusnas ke halte cempaka mana aja ya,1800447317470073044,in,"Bandung, Jawa Barat",0,2,0,aiyu_0_,Transjakarta
39,Tue Jun 11 08:31:12 +0000 2024,0,Min @PT_Transjakarta bus masih menumpuk di halte cawang BNN dan halte cawang sentral UKI tidak? Tadi pagi soalnya masih numpuk banget di UKI. Mohon segera dijawab ya Min sayang... Makasih,1800445666910679403,in,Jakarta,0,1,0,yeptirani,Transjakarta
40,Tue Jun 11 08:26:07 +0000 2024,0,@PT_Transjakarta min kalo dari bus stop kalibata city 1 ke centennial tower naik apa dan rute serta pemberhentiannya dimana ya?,1800444386968518968,in,,0,2,0,dorkdonkey,Transjakarta
41,Tue Jun 11 08:25:48 +0000 2024,0,@RafifFadhlurra4 @PT_Transjakarta Terima kasih kak,1800444310699258020,in,,0,0,0,nalaJoe1,Transjakarta
43,Tue Jun 11 08:21:37 +0000 2024,0,@RafifFadhlurra4 @PT_Transjakarta Kak jalurnya lebih baik turun di csw atau transit dulu ke halte velbak ya?,1800443256318431546,in,,0,1,0,nalaJoe1,Transjakarta
44,Tue Jun 11 08:20:29 +0000 2024,0,@furlsun @PT_Transjakarta pintar wkwwk,1800442969142743394,in,,0,0,0,HiiYouf,Transjakarta
