,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
0,Fri Jun 21 11:50:28 +0000 2024,0,gaasik nih @PT_Transjakarta 9 pluit gadatang datang dah 30menit nunggu di widya candra,1804119693726486727,in,"Tangerang, Banten",0,0,0,totaeba_,Transjakarta
1,Fri Jun 21 11:43:35 +0000 2024,0,Hallo min sebernya penarikan dana itu saat tap in atau tap out ya ? di beberapa shalter tap in ketarik loh dananya . tlg konfirmasinya @PT_Transjakarta,1804117959805395101,in,"Jakarta, Indonesia",0,1,0,haloakubecca,Transjakarta
2,Fri Jun 21 11:32:13 +0000 2024,1,Halo min @PT_Transjakarta di halte Pondok Indah apakah bisa diberikan fasilitas tempat duduk? Karena sering melihat lansia yang duduk seperti ini dan tidak nyaman karena tidak ada tempat duduk yang proper Belum lagi penumpang prioritas lain Thank you https://t.co/E4qFsTQFrv,1804115099902448074,in,,0,1,1,JeaKelana,Transjakarta
3,Fri Jun 21 11:31:48 +0000 2024,1,Udahnya kartu tiap tap tulisannya reset/tap in lift widya chandra lebih lama maintenancenya drpd berfungsinya eh skrg live track hilang @PT_Transjakarta,1804114994088583643,in,,0,1,0,kokumble,Transjakarta
4,Fri Jun 21 11:30:00 +0000 2024,1,Kokkkkk tj gabisa ditrack di gmaps lagiiiiii @PT_Transjakarta,1804114544505294903,in,,0,0,0,fadillahasya,Transjakarta
5,Fri Jun 21 11:05:06 +0000 2024,0,min dari halte permata hijau ke perpusnas naik nomor berapa? @PT_Transjakarta,1804108276080197803,in,,0,2,0,dkssie,Transjakarta
6,Fri Jun 21 11:00:37 +0000 2024,0,halo @PT_Transjakarta kalau dari stasiun Gondangdia mau ke galer nasional apakah bisa naik bus tingkat? atau kalau naik tj rutenya kmna ya?,1804107149733433650,in,2003,0,3,0,2712FILE,Transjakarta
7,Fri Jun 21 10:42:44 +0000 2024,1,kesel bgt live transjakarta hilang gt aja ga ada keterangan dari @PT_Transjakarta,1804102649681448986,in,,0,0,0,hanifhna,Transjakarta
8,Fri Jun 21 10:41:17 +0000 2024,0,Halo min kalau dari halte senayan JCC mau ke Kuningan City naik koridor berapa ya? @PT_Transjakarta,1804102281056665768,in,"Kyoto-shi Minami-ku, Kyoto",0,3,0,cheesebakedcake,Transjakarta
9,Fri Jun 21 10:38:21 +0000 2024,2,Pinter banget lo bikin susah aja ke JakFair @PT_Transjakarta,1804101544012603866,in,,0,0,0,oezoemaki,Transjakarta
10,Fri Jun 21 10:38:11 +0000 2024,0,Halo @PT_Transjakarta apakah besok tj gbk kampung Melayu beroperasi 24 jam?,1804101503776624793,in,,0,1,0,frameer20,Transjakarta
11,Fri Jun 21 10:25:56 +0000 2024,0,TJ menggila guys gw setngah jam nungguin 6D muncul2. @PT_Transjakarta parah banget,1804098419344183779,in,"Depok, Jawa Barat",0,0,0,aaaaaaaannggggg,Transjakarta
12,Fri Jun 21 10:23:26 +0000 2024,0,min kalau dari halte cibubur junction ke csw naik jurusan apa aja ya @PT_Transjakarta,1804097791045832883,in,,0,2,0,djtlwrkq,Transjakarta
13,Fri Jun 21 10:16:33 +0000 2024,0,lama bgt nunggu tj yg ke prj dari senen udah 30 menitan lebih huftttttt @PT_Transjakarta,1804096057078378724,in,♡,0,0,0,hour_lymoon,Transjakarta
14,Fri Jun 21 10:02:03 +0000 2024,0,Min @PT_Transjakarta kl mau ke PRJ pengguna jalur 13 harus nyambung dari mana ke mana? Terima kasih sebelumnya.,1804092407870558356,in,"Tangerang, Banten - Jakarta",0,2,0,estindut,Transjakarta
15,Fri Jun 21 09:58:43 +0000 2024,0,Halo @PT_Transjakarta apakah bermitra dengan mayasari bakti bus? Untuk rute jarak jauh seperti AC125 : cikarang - kalideres apakah di maintain oleh PT Transjakarta? Jika iya dimana info terkait.,1804091570209386880,in,,0,1,0,nayyyazz,Transjakarta
16,Fri Jun 21 09:49:17 +0000 2024,0,Min @PT_Transjakarta rute 9C arah senayan kalo minggu pagi pas jam CFD masih melayani sampe halte GBK ga ya?,1804089196807884926,in,Indonesia,0,1,0,andunmp,Transjakarta
