,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
1,Tue Jun 11 03:53:31 +0000 2024,0,@Transsemarang Ok terima kasih infonya.,1800375786186441033,in,Indonesia,0,1,0,Asalia_Li,Transsemarang
3,Tue Jun 11 03:38:30 +0000 2024,0,@Transsemarang @Asalia_Li Ok kak terima kasih,1800372006199943272,in,first realm,0,1,0,inganggita,Transsemarang
6,Tue Jun 11 02:48:28 +0000 2024,0,@Transsemarang Naik dari Balaikota bisa?,1800359414953881900,in,Indonesia,0,1,0,Asalia_Li,Transsemarang
7,Tue Jun 11 02:47:40 +0000 2024,0,@Transsemarang @Asalia_Li 22.30 itu jam terakhir berangkat dari halte Simpang Lima?,1800359214654840975,in,first realm,0,1,0,inganggita,Transsemarang
10,Tue Jun 11 02:34:53 +0000 2024,0,Pagi min @Transsemarang . Mau tanya kalo layanan malam BRT melayani rute mana saja dan jam pelayanannya bagaimana?,1800355995912450093,in,Indonesia,0,1,0,Asalia_Li,Transsemarang
11,Tue Jun 11 01:49:10 +0000 2024,0,@Transsemarang kalau dari udinus mau ke banyumanik hermina gimana min,1800344491595059304,in,Payment first all e-wallet ,0,1,0,jizenli,Transsemarang
14,Sun Jun 09 01:29:17 +0000 2024,0,Selamat pagi min @Transsemarang kalo rute dari soka gakkai ke unnes gmna ya?,1799614714521231417,in,,0,1,0,temanbaikmu111,Transsemarang
17,Sat Jun 08 15:28:51 +0000 2024,0,@Transsemarang min ktm kalo hari minggu ga berlaku ya?,1799463608801538126,in,claimed = sold,0,1,0,75O03,Transsemarang
18,Sat Jun 08 14:12:44 +0000 2024,0,@Transsemarang cdm min terima kasihh,1799444454413365670,in,,0,0,0,sentamour,Transsemarang
19,Sat Jun 08 12:04:21 +0000 2024,1,@Transsemarang kalau mau lanjut sampe meteseh gimana minn??,1799412145698042109,in,,0,1,0,jerukmanls,Transsemarang
20,Sat Jun 08 10:43:30 +0000 2024,0,malam admin @Transsemarang mau tanya brt untuk rute stasiun poncol ke karanganyar jam 6 sore masih beroperasi ngga ya?,1799391797824864598,in,,0,1,0,leehaechall,Transsemarang
21,Sat Jun 08 10:05:51 +0000 2024,0,@Transsemarang trans jateng ada ga ya min dari deket2 halte balaikota ke undip atau lewat setiabudi jg gpp diatas ntah2 jam 8 maleman,1799382323798086129,in,,0,0,0,flovverie,Transsemarang
22,Sat Jun 08 09:54:15 +0000 2024,0,@Transsemarang dari kampus 3 uin ke unimus naik koridor berapa min? Makasi,1799379402612257234,in,,0,0,0,plutopine,Transsemarang
