,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
0,Tue Jun 11 10:10:12 +0000 2024,0.0,kak nanya cibubur rscm transjakarta jam mohon info kak,1.80047058030472e+18,in,,0.0,0.0,0.0,casseix,Transjakarta
1,Tue Jun 11 10:10:08 +0000 2024,0.0,tj halte benhil atmajaya,1.8004705631122724e+18,in,,0.0,0.0,0.0,hilsa_nafsah,Transjakarta
3,Tue Jun 11 10:07:06 +0000 2024,0.0,stasiun kebayoran nyambung tj tujuan halte gelora karno rutenya gimna,1.8004698007681436e+18,in,,0.0,0.0,0.0,adddddx1,Transjakarta
4,Tue Jun 11 10:04:06 +0000 2024,0.0,ngeblur platnya coba diberitahukan kpd ybs,1.8004690477941476e+18,in,,0.0,0.0,0.0,banktand,Transjakarta
6,Tue Jun 11 10:01:16 +0000 2024,0.0,minnn cdm ak,1.800468335131591e+18,in,Dowoon's heart,0.0,0.0,0.0,billyeojulge,Transjakarta
7,Tue Jun 11 10:00:33 +0000 2024,0.0,halo halte csw ragunan koridor,1.8004681544450908e+18,in,,0.0,0.0,0.0,sebenernyatau,Transjakarta
8,Tue Jun 11 09:59:47 +0000 2024,0.0,kor bmp bocor mah becek sampe kursi,1.8004679623962993e+18,in,Dowoon's heart,0.0,0.0,0.0,billyeojulge,Transjakarta
9,Tue Jun 11 09:57:26 +0000 2024,0.0,maksudku omongin pas tgl juni kak rj nct,1.8004673710372378e+18,in,,0.0,0.0,0.0,adddddx1,Transjakarta
12,Tue Jun 11 09:49:03 +0000 2024,0.0,punten izin rute jakarta kota kokas terima kasih,1.8004652606983252e+18,in,,0.0,1.0,0.0,sebenernyatau,Transjakarta
17,Tue Jun 11 09:26:04 +0000 2024,0.0,admin lebak bulus smesco pancoran tj transit dimana terima kasih,1.8004594768956995e+18,in,,0.0,0.0,0.0,NWati140,Transjakarta
20,Tue Jun 11 09:16:14 +0000 2024,0.0,iyaa ngasih masukan bus gede masuk jalur sempit g bahaya tah busnya g muter n membahayakan kendaraan n bikin macet jg krn sulit muter maksudny ngelapor dikasih info jd kangen anies,1.8004570017362988e+18,in,"Big Hut, Formery, WJ",0.0,0.0,0.0,pablomarcobarr,Transjakarta
22,Tue Jun 11 09:07:16 +0000 2024,0.0,tinggl start mas,1.8004547452804303e+18,in,Jkt,0.0,0.0,0.0,_FayRuth,Transjakarta
24,Tue Jun 11 09:06:41 +0000 2024,0.0,halo rute c cibubur cawang cililitan beroperasi sabtu,1.8004545961226243e+18,in,soshum,0.0,0.0,0.0,4ffowofie,Transjakarta
28,Tue Jun 11 08:57:44 +0000 2024,0.0,tuh penabur kalideres muter gausah turun penabur,1.800452345593283e+18,in,,0.0,1.0,0.0,chik_tiks,Transjakarta
29,Tue Jun 11 08:55:34 +0000 2024,0.0,muter diturunin,1.8004518015290655e+18,in,Jakarta Capital Region,0.0,0.0,0.0,i99marks_,Transjakarta
30,Tue Jun 11 08:51:30 +0000 2024,0.0,bus e rute pondok labu blok m avail taman ddn,1.8004507766593254e+18,in,Jakarta Capital Region,0.0,1.0,0.0,i99marks_,Transjakarta
31,Tue Jun 11 08:47:41 +0000 2024,0.0,info rute gbk kampung rambutan c,1.8004498179420698e+18,in,,0.0,1.0,0.0,nalaJoe1,Transjakarta
32,Tue Jun 11 08:45:50 +0000 2024,0.0,kak terima kasih tim bina marga gerak cepatnya merespon keluhan,1.8004493509902093e+18,in,,0.0,3.0,0.0,kxgyyy,Transjakarta
