,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
0,Fri Jun 21 11:50:28 +0000 2024,0,gaasik nih pluit gadatang dah menit nunggu widya candra,1804119693726486727,in,"Tangerang, Banten",0,0,0,totaeba_,Transjakarta
1,Fri Jun 21 11:43:35 +0000 2024,0,hallo sebernya penarikan dana tap in tap out shalter tap in ketarik loh dananya tlg konfirmasinya,1804117959805395101,in,"Jakarta, Indonesia",0,1,0,haloakubecca,Transjakarta
2,Fri Jun 21 11:32:13 +0000 2024,1,halo halte pondok indah fasilitas duduk lansia duduk nyaman duduk proper penumpang prioritas thank you,1804115099902448074,in,,0,1,1,JeaKelana,Transjakarta
3,Fri Jun 21 11:31:48 +0000 2024,1,udahnya kartu tap tulisannya reset tap in lift widya chandra maintenancenya drpd berfungsinya eh skrg live track hilang,1804114994088583643,in,,0,1,0,kokumble,Transjakarta
4,Fri Jun 21 11:30:00 +0000 2024,1,kokkkkk tj gabisa ditrack gmaps lagiiiiii,1804114544505294903,in,,0,0,0,fadillahasya,Transjakarta
5,Fri Jun 21 11:05:06 +0000 2024,0,halte permata hijau perpusnas nomor,1804108276080197803,in,,0,2,0,dkssie,Transjakarta
6,Fri Jun 21 11:00:37 +0000 2024,0,halo stasiun gondangdia galer nasional bus tingkat tj rutenya kmna,1804107149733433650,in,2003,0,3,0,2712FILE,Transjakarta
7,Fri Jun 21 10:42:44 +0000 2024,1,kesel live transjakarta hilang gt keterangan,1804102649681448986,in,,0,0,0,hanifhna,Transjakarta
8,Fri Jun 21 10:41:17 +0000 2024,0,halo halte senayan jcc kuningan city koridor,1804102281056665768,in,"Kyoto-shi Minami-ku, Kyoto",0,3,0,cheesebakedcake,Transjakarta
9,Fri Jun 21 10:38:21 +0000 2024,2,pinter banget lo bikin susah jakfair,1804101544012603866,in,,0,0,0,oezoemaki,Transjakarta
10,Fri Jun 21 10:38:11 +0000 2024,0,halo besok tj gbk kampung melayu beroperasi jam,1804101503776624793,in,,0,1,0,frameer20,Transjakarta
11,Fri Jun 21 10:25:56 +0000 2024,0,tj menggila guys gw setngah jam nungguin d muncul parah banget,1804098419344183779,in,"Depok, Jawa Barat",0,0,0,aaaaaaaannggggg,Transjakarta
12,Fri Jun 21 10:23:26 +0000 2024,0,halte cibubur junction csw jurusan,1804097791045832883,in,,0,2,0,djtlwrkq,Transjakarta
13,Fri Jun 21 10:16:33 +0000 2024,0,nunggu tj prj senen udah menitan huftttttt,1804096057078378724,in,♡,0,0,0,hour_lymoon,Transjakarta
14,Fri Jun 21 10:02:03 +0000 2024,0,prj pengguna jalur nyambung terima kasih,1804092407870558356,in,"Tangerang, Banten - Jakarta",0,2,0,estindut,Transjakarta
15,Fri Jun 21 09:58:43 +0000 2024,0,halo bermitra mayasari bakti bus rute jarak ac cikarang kalideres maintain pt transjakarta iya dimana info terkait,1804091570209386880,in,,0,1,0,nayyyazz,Transjakarta
16,Fri Jun 21 09:49:17 +0000 2024,0,rute c arah senayan minggu pagi pas jam cfd melayani sampe halte gbk,1804089196807884926,in,Indonesia,0,1,0,andunmp,Transjakarta
17,Fri Jun 21 09:25:55 +0000 2024,0,rute f pinang ranti pondok gede aktif liat aplikasi jaki warnanya abu abu estimated time arrival nya,1804083316347547774,in,mdni,0,2,0,uappilion,Transjakarta
18,Fri Jun 21 09:22:15 +0000 2024,1,kacau ni c pindah cawang sentral antrian nya kacau serobot serobot gara gara peron kebuka enak bkn peron balikin c cawang cililitan plz,1804082392669552958,in,,0,1,0,Kyutsukiii,Transjakarta
19,Fri Jun 21 09:08:51 +0000 2024,0,selamat sore izin besok tanggal juni perubahan rute transjakarta c mohon info halte balaikota prj mohon bantuannya terima kasih,1804079019626729736,in,MOARMY,0,2,0,__hiaugust__,Transjakarta
20,Fri Jun 21 09:07:17 +0000 2024,0,klakuan supir jaklingko kesini barbar seleksinya sdh seketat,1804078625014321199,in,city never sleep,0,0,0,SajaSusanto,Transjakarta
21,Fri Jun 21 08:43:48 +0000 2024,2,rilllll transum dipuji gmn sebulan live track busnya udah planga plongo nunggu tj non brt,1804072718628982824,in,,0,0,0,skytellite,Transjakarta
22,Fri Jun 21 08:30:36 +0000 2024,3,fitur live tracking transjakarta google maps udh enak² praktis trus gimana,1804069397113508287,in,Jakarta Capital Region,0,0,0,bryans98,Transjakarta
23,Fri Jun 21 08:08:50 +0000 2024,0,koridor c cawang sentral kn pintu m sm l pintu k cm turun ko turun pintu k udh serbuuuuu anjirrr sebel pdhl kasian udh ngatri pintu m sm l,1804063918358433858,in,kedai sushi ,0,1,0,joysunie,Transjakarta
24,Fri Jun 21 08:07:57 +0000 2024,14,besok ulang hadiahnya,1804063694730809552,in,Indonesia ,0,1,1,stravenues,Transjakarta
