,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
1,Tue Jun 11 03:53:31 +0000 2024,0.0,ktm minggu berlaku,1.800375786186441e+18,in,Indonesia,0.0,1.0,0.0,Asalia_Li,Transsemarang
3,Tue Jun 11 03:38:30 +0000 2024,0.0,berjalan jalan iseng keliling kota pakai dah seneng pindah kota jujur kehilangan sistem brt kupakai pulang sekolah,1.8003720061999432e+18,in,first realm,0.0,1.0,0.0,inganggita,Transsemarang
6,Tue Jun 11 02:48:28 +0000 2024,0.0,bus koridor gpsnya aktif,1.8003594149538819e+18,in,Indonesia,0.0,1.0,0.0,Asalia_Li,Transsemarang
7,Tue Jun 11 02:47:40 +0000 2024,0.0,terima kasih informasinya koordinasikan mohon bantu,1.800359214654841e+18,in,first realm,0.0,1.0,0.0,inganggita,Transsemarang
10,Tue Jun 11 02:34:53 +0000 2024,0.0,pagi unnes masjid al ikhlas cipto rutenya gmna,1.80035599591245e+18,in,Indonesia,0.0,1.0,0.0,Asalia_Li,Transsemarang
11,Tue Jun 11 01:49:10 +0000 2024,0.0,dm ig responsif,1.8003444915950592e+18,in,Payment first all e-wallet ,0.0,1.0,0.0,jizenli,Transsemarang
14,Sun Jun 09 01:29:17 +0000 2024,0.0,rute brt keperawatan tembalang undip kampus undip pleburan,1.7996147145212314e+18,in,,0.0,1.0,0.0,temanbaikmu111,Transsemarang
17,Sat Jun 08 15:28:51 +0000 2024,0.0,weh kena kentutnya brt,1.799463608801538e+18,in,claimed = sold,0.0,1.0,0.0,75O03,Transsemarang
18,Sat Jun 08 14:12:44 +0000 2024,0.0,tengkyuuu,1.7994444544133658e+18,in,,0.0,0.0,0.0,sentamour,Transsemarang
19,Sat Jun 08 12:04:21 +0000 2024,1.0,oke terima kasih,1.799412145698042e+18,in,,0.0,1.0,0.0,jerukmanls,Transsemarang
20,Sat Jun 08 10:43:30 +0000 2024,0.0,kak maw smk n semarang daerah karangroto rutenya gimana yaa kak trimakasii,1.7993917978248645e+18,in,,0.0,1.0,0.0,leehaechall,Transsemarang
21,Sat Jun 08 10:05:51 +0000 2024,0.0,klo polines sigawe gmna kak,1.7993823237980861e+18,in,,0.0,0.0,0.0,flovverie,Transsemarang
22,Sat Jun 08 09:54:15 +0000 2024,0.0,penyakit alasan komplain asap kepala blu joko umboro amp skrng asap buangan parah petugas halte laporan separah armada tim pengawas,1.7993794026122573e+18,in,,0.0,0.0,0.0,plutopine,Transsemarang
24,Sat Jun 08 07:19:23 +0000 2024,0.0,malam kak penggaron arah halte pemuda balaikota rute kak terimakasiii,1.7993404290514045e+18,in,"Egghead, New World",0.0,1.0,0.0,sera_phim01,Transsemarang
26,Sat Jun 08 06:32:27 +0000 2024,0.0,terima kasih,1.7993286191076188e+18,in,,0.0,1.0,0.0,adhepur,Transsemarang
