,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
0,Fri Jun 21 14:30:49 +0000 2024,0.0,info rute taman mt haryono unnes,1.8041600451875471e+18,in,"Jawa Tengah, Indonesia",0.0,1.0,0.0,machacihhhahh,Transsemarang
1,Thu Jun 20 07:28:14 +0000 2024,1.0,hai kak tny driver feeder emg diajarkan ugalan jalan juni sktr jam nomornya f ugalan nyalip nya ngawur smpe nabrak motor arah berlawanan bbrp kali jg ketemu sm supir feeder ugalan ky gn,1.8036913103791025e+18,in,,0.0,2.0,0.0,happinessis0305,Transsemarang
2,Wed Jun 19 08:26:12 +0000 2024,0.0,halo rute terminal mangkang dp mall semarang tuh gimana makasih,1.8033435119511224e+18,in,"Kendal, Indonesia",0.0,1.0,0.0,Abqoriahm,Transsemarang
3,Sun Jun 16 05:45:48 +0000 2024,0.0,siang rute unnes genuk gimana yaa,1.8022159824314043e+18,in,,0.0,2.0,0.0,piwcious,Transsemarang
4,Sat Jun 15 13:48:46 +0000 2024,0.0,halo rute undip dusun semilir gimana,1.801975137392038e+18,in,,0.0,2.0,0.0,Khb131_id,Transsemarang
5,Fri Jun 14 07:41:31 +0000 2024,0.0,halo kak pembayaran non tunai brt kartu emoney mandiri,1.801520326033216e+18,in,dream land,0.0,1.0,0.0,7llininmyroom,Transsemarang
6,Fri Jun 14 02:35:43 +0000 2024,0.0,halo rute undip st tawang gimana makasih sblmnya,1.8014433717074703e+18,in,,0.0,1.0,0.0,Khb131_id,Transsemarang
7,Wed Jun 12 14:16:38 +0000 2024,0.0,halo rute halte polines makodam gimana terima kasih,1.800894985249952e+18,in,,0.0,1.0,0.0,yangnnyeom,Transsemarang
8,Wed Jun 12 11:17:27 +0000 2024,0.0,malam mohon cek ac berkala armada koridor iv siliwangi cangkiran sumuk ac pintu dibuka biar angin masuk terima kasih,1.8008498946783688e+18,in,Indonesia,0.0,1.0,0.0,Asalia_Li,Transsemarang
9,Wed Jun 12 01:18:50 +0000 2024,0.0,total bus diperiksa melebihi ambang batas emisi alias kemebul parah piyeeee,1.8006992450430817e+18,in,,0.0,1.0,0.0,Olikotor_,Transsemarang
10,Tue Jun 11 02:34:53 +0000 2024,0.0,pagi layanan malam brt melayani rute jam pelayanannya,1.80035599591245e+18,in,Indonesia,0.0,1.0,0.0,Asalia_Li,Transsemarang
11,Sun Jun 09 01:29:17 +0000 2024,0.0,selamat pagi rute soka gakkai unnes gmna,1.7996147145212314e+18,in,,0.0,1.0,0.0,temanbaikmu111,Transsemarang
12,Sat Jun 08 10:43:30 +0000 2024,0.0,malam admin brt rute stasiun poncol karanganyar jam sore beroperasi ngga,1.7993917978248645e+18,in,,0.0,1.0,0.0,leehaechall,Transsemarang
13,Sat Jun 08 05:30:39 +0000 2024,0.0,mestinya turun halte stasiun semarang poncol ndak berhenti halte dilewati aba aba kondektur posisi kondektur mengobrol driver,1.7993130667500954e+18,in,,0.0,3.0,0.0,adhepur,Transsemarang
14,Fri Jun 07 15:05:36 +0000 2024,1.0,berjalan jalan iseng keliling kota pakai dah seneng pindah kota jujur kehilangan sistem brt kupakai pulang sekolah,1.7990953698482793e+18,in,"Semarang, Jawa Tengah",0.0,0.0,0.0,kertanegara_133,Transsemarang
15,Fri Jun 07 14:00:35 +0000 2024,0.0,rs permata medika udinus brt ngga yaa,1.79907900933222e+18,in,,0.0,1.0,0.0,jerukmanls,Transsemarang
16,Fri Jun 07 11:36:05 +0000 2024,0.0,brt halte jrakah amarta sampe jam,1.7990426429380652e+18,in,aesthevism,0.0,1.0,0.0,demnxoi_,Transsemarang
17,Fri Jun 07 06:21:32 +0000 2024,0.0,nanya idul adha brt jalan,1.798963484048368e+18,in,,0.0,1.0,0.0,gularebu,Transsemarang
18,Sat May 18 04:51:54 +0000 2024,0.0,rute gereja katolik katedral randusari unnes gmna,1.7916931717576666e+18,in,,0.0,1.0,0.0,temanbaikmu111,Transsemarang
19,Fri May 17 14:17:22 +0000 2024,1.0,info sriwijaya salatiga trans jateng,1.7914730875209114e+18,in,,0.0,1.0,0.0,luckyistoday,Transsemarang
20,Fri May 17 04:52:30 +0000 2024,0.0,admin nanya rute undip kota gimana,1.7913309332469844e+18,in,btsarmy,0.0,1.0,0.0,talkboutmy,Transsemarang
21,Tue May 14 04:39:32 +0000 2024,0.0,minn info gubug balkot rutenya gimana yaa,1.7902405063348475e+18,in,,0.0,1.0,0.0,ksjfuturee,Transsemarang
22,Mon May 13 16:22:36 +0000 2024,0.0,halo stasiun tawang bsb city koridor darimana,1.7900550529686282e+18,in,,0.0,1.0,0.0,bawelp,Transsemarang
