,Unnamed: 0,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword,created_day
0,0,Fri Jun 21 11:50:28 +0000 2024,0,gaasik nih @PT_Transjakarta 9 pluit gadatang datang dah 30menit nunggu di widya candra,1804119693726486727,in,"Tangerang, Banten",0,0,0,totaeba_,Transjakarta,Fri
1,1,Fri Jun 21 11:43:35 +0000 2024,0,Hallo min sebernya penarikan dana itu saat tap in atau tap out ya ? di beberapa shalter tap in ketarik loh dananya . tlg konfirmasinya @PT_Transjakarta,1804117959805395101,in,"Jakarta, Indonesia",0,1,0,haloakubecca,Transjakarta,Fri
2,2,Fri Jun 21 11:32:13 +0000 2024,1,Halo min @PT_Transjakarta di halte Pondok Indah apakah bisa diberikan fasilitas tempat duduk? Karena sering melihat lansia yang duduk seperti ini dan tidak nyaman karena tidak ada tempat duduk yang proper Belum lagi penumpang prioritas lain Thank you https://t.co/E4qFsTQFrv,1804115099902448074,in,,0,1,1,JeaKelana,Transjakarta,Fri
3,3,Fri Jun 21 11:31:48 +0000 2024,1,Udahnya kartu tiap tap tulisannya reset/tap in lift widya chandra lebih lama maintenancenya drpd berfungsinya eh skrg live track hilang @PT_Transjakarta,1804114994088583643,in,,0,1,0,kokumble,Transjakarta,Fri
4,4,Fri Jun 21 11:30:00 +0000 2024,1,Kokkkkk tj gabisa ditrack di gmaps lagiiiiii @PT_Transjakarta,1804114544505294903,in,,0,0,0,fadillahasya,Transjakarta,Fri
5,5,Fri Jun 21 11:05:06 +0000 2024,0,min dari halte permata hijau ke perpusnas naik nomor berapa? @PT_Transjakarta,1804108276080197803,in,,0,2,0,dkssie,Transjakarta,Fri
6,6,Fri Jun 21 11:00:37 +0000 2024,0,halo @PT_Transjakarta kalau dari stasiun Gondangdia mau ke galer nasional apakah bisa naik bus tingkat? atau kalau naik tj rutenya kmna ya?,1804107149733433650,in,2003,0,3,0,2712FILE,Transjakarta,Fri
7,7,Fri Jun 21 10:42:44 +0000 2024,1,kesel bgt live transjakarta hilang gt aja ga ada keterangan dari @PT_Transjakarta,1804102649681448986,in,,0,0,0,hanifhna,Transjakarta,Fri
8,8,Fri Jun 21 10:41:17 +0000 2024,0,Halo min kalau dari halte senayan JCC mau ke Kuningan City naik koridor berapa ya? @PT_Transjakarta,1804102281056665768,in,"Kyoto-shi Minami-ku, Kyoto",0,3,0,cheesebakedcake,Transjakarta,Fri
9,9,Fri Jun 21 10:38:21 +0000 2024,2,Pinter banget lo bikin susah aja ke JakFair @PT_Transjakarta,1804101544012603866,in,,0,0,0,oezoemaki,Transjakarta,Fri
