index,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword,created_day,sentiment,sentiment_Hany,sentiment_Jess,sentiment_Messy
0,Fri Jun 21 14:30:49 +0000 2024,0,min info rute dari taman mt haryono - unnes @Transsemarang,1804160045187547238,in,"Jawa Tengah, Indonesia",0,1,0,machacihhhahh,Transsemarang,Fri,Neutral,1,1,1
1,Thu Jun 20 07:28:14 +0000 2024,1,Hai kak @Transsemarang ! Mau tny apakah driver feeder emg diajarkan untuk ugal2an di jalan ya? Hari ini 20 Juni sktr jam 14.13 nomornya F3-009 ugal2an... nyalip nya ngawur smpe hampir nabrak motor dr arah berlawanan ! Bbrp kali jg ketemu sm supir feeder ugal2an ky gn !,1803691310379102437,in,,0,2,0,happinessis0305,Transsemarang,Thu,Negative,0,0,0
2,Wed Jun 19 08:26:12 +0000 2024,0,Halo @Transsemarang mau tanya rute dari terminal mangkang ke dp mall semarang tuh gimana ya? Makasih,1803343511951122442,in,"Kendal, Indonesia",0,1,0,Abqoriahm,Transsemarang,Wed,Neutral,1,1,1
3,Sun Jun 16 05:45:48 +0000 2024,0,siang min @Transsemarang. rute dari unnes ke genuk gimana yaa?,1802215982431404340,in,,0,2,0,piwcious,Transsemarang,Sun,Neutral,1,1,1
4,Sat Jun 15 13:48:46 +0000 2024,0,halo min untuk rute undip ke dusun semilir gimana ya? @Transsemarang,1801975137392037946,in,,0,2,0,Khb131_id,Transsemarang,Sat,Neutral,1,1,1
5,Fri Jun 14 07:41:31 +0000 2024,0,halo kak @Transsemarang untuk pembayaran non tunai brt bisa menggunakan kartu emoney mandiri atau ga ya?,1801520326033215963,in,dream land,0,1,0,7llininmyroom,Transsemarang,Fri,Neutral,1,1,1
6,Fri Jun 14 02:35:43 +0000 2024,0,halo min untuk rute undip ke st tawang gimana ya? makasih sblmnya @Transsemarang,1801443371707470246,in,,0,1,0,Khb131_id,Transsemarang,Fri,Neutral,1,1,1
7,Wed Jun 12 14:16:38 +0000 2024,0,halo min untuk rute dari halte polines ke makodam gimana ya? terima kasih @Transsemarang,1800894985249951914,in,,0,1,0,yangnnyeom,Transsemarang,Wed,Neutral,1,1,0
8,Wed Jun 12 11:17:27 +0000 2024,0,Malam @Transsemarang . Mohon cek AC berkala untuk armada koridor IV-018. Saya naik dari ADA Siliwangi sekitar 17.50 ke Cangkiran sumuk gak ada AC. Pintu dibuka biar ada angin masuk. Terima kasih.,1800849894678368721,in,Indonesia,0,1,0,Asalia_Li,Transsemarang,Wed,Neutral,1,1,0
9,Wed Jun 12 01:18:50 +0000 2024,0,Dari total 40 bus yang diperiksa 28 di antaranya melebihi ambang batas emisi alias kemebul parah. Piyeeee @Transsemarang ?,1800699245043081670,in,,0,1,0,Olikotor_,Transsemarang,Wed,Negative,0,0,0
10,Tue Jun 11 02:34:53 +0000 2024,0,Pagi min @Transsemarang . Mau tanya kalo layanan malam BRT melayani rute mana saja dan jam pelayanannya bagaimana?,1800355995912450093,in,Indonesia,0,1,0,Asalia_Li,Transsemarang,Tue,Neutral,1,1,1
11,Sun Jun 09 01:29:17 +0000 2024,0,Selamat pagi min @Transsemarang kalo rute dari soka gakkai ke unnes gmna ya?,1799614714521231417,in,,0,1,0,temanbaikmu111,Transsemarang,Sun,Neutral,1,1,0
12,Sat Jun 08 10:43:30 +0000 2024,0,malam admin @Transsemarang mau tanya brt untuk rute stasiun poncol ke karanganyar jam 6 sore masih beroperasi ngga ya?,1799391797824864598,in,,0,1,0,leehaechall,Transsemarang,Sat,Neutral,1,1,1
13,Sat Jun 08 05:30:39 +0000 2024,0,Baru saja naik @Transsemarang mestinya turun di halte Stasiun Semarang Poncol malah ndak berhenti di halte tsb dilewati begitu saja. Tidak ada aba-aba juga sebelumnya dari kondektur. Posisi kondektur di depan mengobrol dengan driver.,1799313066750095386,in,,0,3,0,adhepur,Transsemarang,Sat,Neutral,0,0,0
