,Unnamed: 0,topic_id,sentiment_value,topic_name,sentiment,positive_count,neutral_count,negative_count
0,0,1,-1,"feeder, ugalan, banyumanik, hendrarprihadi, kuota",Negative,3,15,4
1,1,8,-2,"acnya, sore, tawang, kak, jam",Negative,2,12,2
2,2,5,-3,"halte, balaikota, info, imam, tanah",Negative,0,13,1
3,3,2,0,"kota, semarang, gading, memfasilitasi, teman",Neutral,7,7,0
4,4,4,7,"bus, iv, cangkiran, trans, layanan",Positive,1,9,4
5,5,6,1,"khusus, ngerasain, ts, berlaku, karna",Positive,3,8,2
6,6,3,-1,"alun, max, dimana, jurusan, terdekat",Negative,1,9,2
7,7,9,-4,"tanah, putih, halte, gimana, polines",Negative,0,10,2
8,8,7,-1,"armada, godong, banget, ditambah, armadanya",Negative,2,3,6
9,9,10,-1,"cash, tap, tarif, tunai, cashless",Negative,2,6,3
