,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
0,Fri Apr 19 02:28:32 +0000 2024,28,pekan berkesempatan menjajal alibo angkot listrik bogor kesan pertamanya mikrotrans ac jakarta ujicoba unit nunggunya lumayan pembayaran brizzi katanyasih bertahap kue untung qris sih,1781147842729685387,in,Jakarta Capital Region,1,3,10,irhamsyarif,Jakarta-angkot.csv
1,Fri Feb 09 06:30:12 +0000 2024,45463,tinggal jakarta gapunya kendaraan ngerasa kesusahan karna angkot gratis tj deket bayar ngerantau kota bandung ngerasain banget perbedaan transportasi,1755841508975206524,in,Indonesia,2058,1358,3933,tanyakanrl,Jakarta-angkot.csv
2,Fri Jul 22 07:05:28 +0000 2022,19573,penasaran jakarta tuh abis duit bikin angkot jaklingko gratis bikin pengemudi angkot pekerja formal digaji kerasa bener servicenya bagus angkot pake acara drama ngetem maju mundur gang,1550376464859549697,in,"Pondok Aren, Indonesia",808,433,3999,adisetyop,Jakarta-angkot.csv
3,Fri May 24 14:06:20 +0000 2024,13,sopir lansia jakarta tidur angkot sewa kontrakan kehidupan sopir angkot lansia jakarta bernama amsori dijalani penuh kesulitan pendapatan mencukupi memaksa amsori tidur angkotnya,1794007024503783704,in,Indonesia,0,0,11,Melihat_Indo,Jakarta-angkot.csv
4,Sat Feb 17 04:46:33 +0000 2024,102,celaka akibat hindari angkot berhenti mata pengendara motor tertancap batang besi spion terjatuh motor akibat menghindari angkot berhenti dipinggir jalan jl raya pramuka kel utan kayu kec matraman jakarta timur jumat,1758714526701375916,in,,11,33,75,RadioElshinta,Jakarta-angkot.csv
5,Wed Apr 17 16:07:34 +0000 2024,5575,bayangin angkot jam malem stasiun depok kerja seharian jakarta tau besoknya berangkat menembus kemacetan jam pagi ikan sarden krl biar nyampe kantor gajinya kali,1780629185498886461,in,Buat Mulai Coding Career 👉🏻,65,111,1545,oianas_,Jakarta-angkot.csv
6,Thu Feb 29 11:33:47 +0000 2024,162,pemerintah penengah penyelesai demo menjurus anarkis sopir angkot merugikan masyarakat netijen solusi nya,1763165666105037239,in,Jakarta Capital Region,7,15,41,TfJakarta,Jakarta-angkot.csv
7,Tue Mar 26 12:48:27 +0000 2024,51,hai fairies tim apem update nih total paket takjil paket mini takjil dibagikan orang orang membutuhkan satpam driver ojol angkot tim apem jakarta international velodrome rawamangun,1772606539431284986,in,Indonesia,6,0,32,APEMinseok,Jakarta-angkot.csv
8,Fri Mar 22 09:18:59 +0000 2024,376,urgent angkot malang treatment jaklingko jakarta braw,1771104274820337786,in,rules/pp cek link‼️,52,76,17,ub_mfs,Jakarta-angkot.csv
9,Sun May 26 15:15:35 +0000 2024,0,angkot jakarta vs angkot solo menyala soloku,1794749229807911169,in,Surakarta Hadiningrat ,0,0,0,bella_nyo,Jakarta-angkot.csv
10,Fri May 03 08:54:54 +0000 2024,8,kejadian jalan margasatwa raya pasar minggu jakarta selatan angkot mencoba masuk jalur transjakarta diduga muncul bus transjakarta lajur kanan dihindari angkot terjepit pembatas jalan bus transjakarta,1786318506302275805,in,South Jakarta,0,0,2,IsuSoksial,Jakarta-angkot.csv
11,Thu Apr 25 11:10:05 +0000 2024,19,reformasi angkot membutuhkan komunikasi jakarta membutuhkan puluhan diskusi pelaku angkot terintegrasi sistem pelaku angkot jaminan operasional layak bersedia bergabung sistem,1783453420302827686,in,Indonesia ,2,1,6,stravenues,Jakarta-angkot.csv
12,Thu Mar 21 21:00:29 +0000 2024,7,gue pengguna transportasi publik non jakarta angkot bis miniarta elp terlintas bagus berpikir kendaraan bagus jalanan jelek grgr bupatinya korupsi mlu mahal bjir,1770918426191495283,in,바위게,0,3,4,septimberrr,Jakarta-angkot.csv
13,Fri Feb 23 06:08:03 +0000 2024,13,transjakarta rute pulo gadung walkot jakut via tipar cakung supir angkot lakukan protes puluhan sopir angkot jalan tipar cakung jakarta utara menggelar aksi protes jalan tipar cakung puskesmas sukapura jumat pagi memprotes,1760909367447343579,in,,1,4,7,RadioElshinta,Jakarta-angkot.csv
14,Mon May 06 02:47:24 +0000 2024,31,menerima informasi sopir angkot u menggelar aksi unjuk menolak transjakarta rute m pulo gadung kantor wali kota jakarta utara via tipar cakung beroperasi senin dihentikan,1787313184719999052,in,"Tambora, Indonesia",7,6,4,jalur5_,Jakarta-angkot.csv
15,Sat May 11 09:58:24 +0000 2024,24,kecelakaan lintas melibatkan mobil angkot a jurusan kampung melayu gandaria pengemudi ojek online angkot menabrak melindas pengemudi ojol penumpangnya berhenti lampu merah flyover pasar rebo jalan raya bogor ciracas jakarta timur,1789233587042320547,in,South Jakarta,0,9,3,IsuSoksial,Jakarta-angkot.csv
16,Sat Mar 02 08:22:41 +0000 2024,179,angkot eksisting bereskan pemerintah lokal bodetabek makan transportasi modern nyaman masyarakat kenyataan,1763842351347474499,in,Jakarta Capital Region,2,9,58,TfJakarta,Jakarta-angkot.csv
17,Mon May 06 23:47:09 +0000 2024,22,jakarta ngampus mirkolet angkot ps minggu lb bulus tarif kisaran k k mikroletnya udah jurusan tj u angkotnya udah jak lingkonya tarif k gratis bandung angkot deui bandung,1787630211670155540,in,"Jakarta Selatan, DKI Jakarta",0,1,0,LM_Alfatih,Jakarta-angkot.csv
18,Wed Apr 17 12:13:00 +0000 2024,7,satunya bikin gw bangga warga jakarta mikrotrans alias angkot gratis,1780570151462879558,in,Jakarta,0,1,2,joyhenri__,Jakarta-angkot.csv
19,Thu Mar 28 09:37:39 +0000 2024,43,adakah bantu isi kuisioner penelitian skripsiku kriterianya ragam transportasi jakarta tj angkot mrt lrt krl e money orang beruntung dm rep yaa dips,1773283298485092410,in,⬇️BACA RULES JANGAN NGELANGGAR,0,82,1,undipmenfess,Jakarta-angkot.csv
20,Sat Mar 02 08:20:35 +0000 2024,405,tije berusaha terbaik melayani masyarakat menghadirkan rute bermanfaat faktor tangsel bptj bs dishub tangsel angkot parung kaya tau,1763841823393694076,in,Jakarta Capital Region,18,28,115,TfJakarta,Jakarta-angkot.csv
21,Wed May 08 13:04:36 +0000 2024,6,cm need respondents bantu isi kuisioner penelitian skripsiku butuh responden huhu kriterianya ragam transportasi jakarta tj angkot mrt krl lrt linknya drop komentar dm jg total saldo k cont,1788193284931928336,in,,0,13,1,collegemenfess,Jakarta-angkot.csv
22,Fri Mar 08 14:46:47 +0000 2024,3,lulus orang jakarta angkot,1766113339326050614,in,,0,0,0,moondanqis,Jakarta-angkot.csv
23,Sat Feb 17 01:45:49 +0000 2024,30,perorangan pakai pertamax shell super subsidi bbm sih ngaruh tu kurir ekspedisi truck ayam truck sayur gojek angkot elf jakarta serang pakenya pertalite solar mampus lu rasain harga harga naek,1758669045237428437,in,Indonesia,1,2,6,Twt_dr_je,Jakarta-angkot.csv
24,Sun Mar 10 04:42:37 +0000 2024,0,angkot jakarta tuhhh luas gasii angkot bogor,1766686071109406926,in,,0,0,0,Susahipp,Jakarta-angkot.csv
25,Wed Feb 28 13:56:31 +0000 2024,10,halo jfriends mencoba angkot ac gratis jakarta salah rute dilayani angkot ac mikrotrans jak terminal rawamangun manggarai via pisangan pondok jati mikrotrans dimiliki pt lestari surya gema persada lsg,1762839196337942883,in,"Tambora, Indonesia",1,2,0,jalur5_,Jakarta-angkot.csv
26,Wed Feb 14 07:25:20 +0000 2024,0,rekapan nyoblos ni kertas alumni ugm kertas petahana kertas ketiga ex calon wagub kertas keempat supir angkot done from tps jagakarsa jakarta selatan jangangolput,1757667321592910325,in,,0,1,2,RizkyG_p,Jakarta-angkot.csv
27,Fri May 03 08:57:00 +0000 2024,14,sopir angkot kwk jurusan grogol cengkareng viral memakai selang oksigen menderita penyakit berbahaya sopir angkot bernama sa at berasal medan merantau jakarta ist,1786319032515195032,in,Indonesia,1,0,6,tribunnews,Jakarta-angkot.csv
28,Thu Mar 14 13:06:20 +0000 2024,2,tinggal jakarta tj angkot kwk merah jaklingko kena macet mengeluh wajar wajar orang ngeluh macet kendaaran pribadi salah penyumbang kemacetan kendaraan pake,1768262387558490149,in,"JAKARTA,INDONESIA",0,0,1,Muhammad_bayu10,Jakarta-angkot.csv
29,Wed Feb 28 10:55:30 +0000 2024,11,rute transjakarta pulo gadung walikota jakarta utara via tipar cakung m dihentikan protes sopir angkot sehubungan penolakan sopir angkutan reguler u pembukaan rute m rute m dihentikan kepala,1762793644590002503,in,"Tambora, Indonesia",1,1,4,jalur5_,Jakarta-angkot.csv
