"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1746428504030478374","Sun Jan 14 07:06:17 +0000 2024","26722","Implementasi manfaat Jaklingko mungkin bisa diperdebatkan. Tapi jujur gw baru ngerti kalo angkot saling salip rebutan penumpang itu masalah besar yang mengawali lahirnya sistem Jaklingko. https://t.co/A4n1Bzbsci","1746428504030478374","https://pbs.twimg.com/ext_tw_video_thumb/1746428341836783616/pu/img/Tos4hW5zl4XZIC-R.jpg","","in","","1947","354","6788","https://x.com/goodghan/status/1746428504030478374","58138611","goodghan"
"1792845835908346003","Tue May 21 09:12:11 +0000 2024","10482","Kcg! Si jaklingko ngaso dulu dari shubuh keliling komplek (abaikan jamur di hidung memang suka gitu gegara dia suka ke tempat lembab/wc) https://t.co/jYtpBlueFN","1792845835908346003","https://pbs.twimg.com/media/GOF3yLjaIAA_3PM.jpg","","in","ID","173","342","708","https://x.com/kochengfs/status/1792845835908346003","243647729","kochengfs"
"1544312739388334080","Tue Jul 05 13:30:23 +0000 2022","3828","Alhamdulillah atas nama Pemprov DKI Jakarta kami baru saja menerima beberapa piagam yang menggambarkan hasil dari kinerja kolektif seluruh pihak di bidang Transportasi serta Lalu Lintas. #JakLingko #JakartaKotaGlobal #DishubDKIJakarta https://t.co/w8TECCwLUb","1544312739388334080","https://pbs.twimg.com/media/FW6APPqaAAANLm7.jpg","","in","Indonesia","69","500","593","https://x.com/aniesbaswedan/status/1544312739388334080","110312278","aniesbaswedan"
"1742740943789539687","Thu Jan 04 02:53:14 +0000 2024","3767","Tahun 2017 masa kejayaan saat Trafi hadir di Jakarta. Namun ia pergi 2022 lalu. Saat ini kita bergantung dengan Moovit tapi sudah sebulan lebih tracking bus di moovit tidak aktif. Ada aplikasi lain yaitu TIJE dan JakLingko namun belum sesuai harapan. Kita mundur 7 tahun? https://t.co/JPqNw6fg7U","1742740943789539687","https://pbs.twimg.com/media/GC91pZzbUAAC-i6.jpg","","in","Jakarta Capital Region","614","281","1301","https://x.com/irhamsyarif/status/1742740943789539687","133690141","irhamsyarif"
"1550376464859549697","Fri Jul 22 07:05:28 +0000 2022","19587","Penasaran Jakarta tuh abis duit berapa ya buat bisa bikin angkot Jaklingko gratis. Bisa bikin pengemudi angkot jadi pekerja formal yg digaji tetap. Kerasa bener servicenya jadi bagus naik angkot ga pake acara drama ngetem maju mundur depan gang.","1550376464859549697","","","in","Pondok Aren, Indonesia","809","433","4013","https://x.com/adisetyop/status/1550376464859549697","430519110","adisetyop"
"1468144418397982722","Tue Dec 07 09:04:40 +0000 2021","3081","Siapa yang dulu sering naik Koantas Bima? Alhamdulillah sejak minggu lalu armada legendaris Koperasi Angkutan Lintas Bis Madya (Koantas Bima) resmi bergabung ke sistem BRT Transjakarta-JakLingko. #JakLingko #TransJakarta #KoantasBima https://t.co/9QZAvDWOpM https://t.co/FWvTcfmkXE","1468144418397982722","https://pbs.twimg.com/media/FF_ljv-UcAAWM57.jpg","","in","Indonesia","47","234","471","https://x.com/aniesbaswedan/status/1468144418397982722","110312278","aniesbaswedan"
"1218058617447796737","Fri Jan 17 06:32:59 +0000 2020","7629","Alhamdulillah pengakuan global ini adalah bonus bagi kita semua. Penghargaan terbesar justru dari warga Jakarta yg semakin sering naik transportasi publik. Terima kasih telah ikut menjadi bagian dari perubahan di Jakarta. https://t.co/2XDqb8Tp9W #STA2020 #DKIJakarta #JakLingko https://t.co/ypJaEIm2Jo","1218058617447796737","https://pbs.twimg.com/media/EOdp2HEVAAAfv7Y.jpg","","in","Indonesia","154","583","1971","https://x.com/aniesbaswedan/status/1218058617447796737","110312278","aniesbaswedan"
"1789994754815524963","Mon May 13 12:23:00 +0000 2024","437","syukuran guys transjakarta (termasuk jaklingko yg angkot itu) udah bisa live tracking lokasi bis sekarang kl mau ke kampus ui! pake D21 gausa ngetwit MALES PAKE TRANSJAKARTA trs baru muncul https://t.co/fXdjtJ3KSI","1789994754815524963","https://pbs.twimg.com/media/GNdWvNjbcAALXnD.jpg","","in","danau kenanga","42","14","28","https://x.com/uibaseNG/status/1789994754815524963","1754127676305289216","uibaseNG"
"1302230673508282368","Sat Sep 05 13:02:41 +0000 2020","4216","Terobosan terbaru dari @PT_Transjakarta. Pada Hari Pelanggan Nasional #Transjakarta meluncurkan unit terbaru #Mikrotrans yang lebih nyaman dan aman. Teman-teman sudah mencobanya? Tetap patuhi protokol kesehatan ketika menggunakan transportasi publik. #JakLingko #JagaJakarta https://t.co/PB7l5MQXCe","1302230673508282368","https://pbs.twimg.com/ext_tw_video_thumb/1302230174058999808/pu/img/7Lu7s-H1qUjKvpcB.jpg","","in","Indonesia","215","211","1087","https://x.com/aniesbaswedan/status/1302230673508282368","110312278","aniesbaswedan"
"1793880220707283217","Fri May 24 05:42:27 +0000 2024","38","Hot girls naik jaklingko https://t.co/eb7qAteWFe","1793880220707283217","https://pbs.twimg.com/media/GOUkjDpb0AAinAe.jpg","","tl","Jakarta Selatan, DKI Jakarta","0","3","0","https://x.com/yoursthief/status/1793880220707283217","1088473487742623751","yoursthief"
"1794042192765612303","Fri May 24 16:28:39 +0000 2024","1808","Makan gratis daripada jaklingko di semua daerah? Makan gratis daripada kenaikan gaji tenaga pendidik yang bakal ngaruh ke kualitas pendidikan negara? Makan gratis daripada andil pemerintah ke standar tentang umur kerja? Makan gratis daripada peraturan serius pelecehan seksual?","1794042840080896075","","jungbinnazone","in","mostly aespa.","40","1","228","https://x.com/jungbinnazone/status/1794042840080896075","1432340564234539008","jungbinnazone"
"1795396594986295798","Tue May 28 10:07:59 +0000 2024","0","Pertama kali naik jaklingko nyasar sih engga cuma bablas aja sampe pangkalan ternyata harus transit. Padahal udh curiga wkwk","1795396594986295798","","","in","Jakarta","0","0","0","https://x.com/mooomon88/status/1795396594986295798","394520346","mooomon88"
"1663155599759273984","Mon May 29 12:09:29 +0000 2023","6470","Jalan bareng Ismail menikmati subsidi negara/Pemprov DKI Jakarta #transjakarta #electricbus #buslistrik #jaklingko @PT_Transjakarta #publictransportation #subsidi #untukIndonesia https://t.co/CGrZguEUi0","1663155599759273984","https://pbs.twimg.com/media/FxS3M10aEAE6Jbn.jpg","","in","Indonesia","80","711","1079","https://x.com/aniesbaswedan/status/1663155599759273984","110312278","aniesbaswedan"
"1790655656573514022","Wed May 15 08:09:11 +0000 2024","6","oi ban jaklingko skrg dijual yg mau bisa dm atau co di sopi: https://t.co/8rySI6enRY https://t.co/Zmpa0IQkRq","1790655656573514022","https://pbs.twimg.com/media/GNmv0ouaUAAJRl2.jpg","","in","i sell brownie & cookies (dm!)","3","4","16","https://x.com/downepour/status/1790655656573514022","888225426434277377","downepour"
"1766770627409846340","Sun Mar 10 10:18:37 +0000 2024","19756","Transportasi publik bukan sekadar pemindah raga tapi juga pembentuk budaya. Inilah gagasan di balik lahirnya Jaklingko yang mengintegrasikan berbagai moda transportasi di Jakarta. #Aniesmasi oleh @fairy_ley87 #jaklingko #transportasipublik #transportasiumum https://t.co/6ORSGNCHbS","1766770627409846340","https://pbs.twimg.com/amplify_video_thumb/1766770248458584065/img/qD5j0dr0w_sEm7q1.jpg","","in","Indonesia","277","369","5239","https://x.com/aniesbaswedan/status/1766770627409846340","110312278","aniesbaswedan"
"1732599579970085022","Thu Dec 07 03:15:04 +0000 2023","5321","Anies menginginkan seluruh angkutan perkotaan di Indonesia memakai sistem Jaklingko. https://t.co/1QxIdg3tjh","1732599579970085022","","","in","","524","1146","1105","https://x.com/kumparan/status/1732599579970085022","759692754985242625","kumparan"
"1742354913655726479","Wed Jan 03 01:19:17 +0000 2024","162"," kdm ️ welcome to samdalri andai ada supir jaklingko secakep ini aku mah betah aja diajak keliling jkt hihi https://t.co/qxmqkiOccr","1742354913655726479","https://pbs.twimg.com/media/GC4WjyMbIAAjh1w.jpg","","in","Rules 👇","8","12","14","https://x.com/kdrama_menfess/status/1742354913655726479","1012588105591713793","kdrama_menfess"
"1793153618981618131","Wed May 22 05:35:12 +0000 2024","85","Kcg! Ini pamggilan jaklingko dari reply mf sebelumnya tp sender cek lg g ketemu nama kakaknya makasihh kakaknya udh panggil jaklingko tp emang beneran mirip sih Ini jaklingko sama ojol lg berjemur sebelum narik lagi https://t.co/zzUiFiBfpB","1793153618981618131","https://pbs.twimg.com/media/GOKPtYybIAEIr2V.jpg","","in","ID","0","2","6","https://x.com/kochengfs/status/1793153618981618131","243647729","kochengfs"
"1794560507594100995","Sun May 26 02:45:40 +0000 2024","2","I can die in peace now. I've tried JakLingko.","1794560507594100995","","","en","CA","0","1","0","https://x.com/apopecalypse/status/1794560507594100995","342511861","apopecalypse"
"1790793210123710696","Wed May 15 17:15:47 +0000 2024","16","abang2 driver jaklingko https://t.co/OCVPco0yCe","1790793210123710696","https://pbs.twimg.com/ext_tw_video_thumb/1790685708623204352/pu/img/bgdbXdg089ypZq8g.jpg","","tl","sembako ada di pin","0","0","3","https://x.com/nekofourth/status/1790793210123710696","1350916207696773120","nekofourth"
"1794361484128203184","Sun May 26 14:45:47 +0000 2024","3","@dadakanbanget @ldaWijayanti Jaklingko itu jadi branding transportasi Jakarta. Harapannya dimanapun orang liat logo Jaklingko = disitu ada transportasi umum (apapun jenis modanya). Saya coba gambarkan perbandingannya dengan negara sebelah ya ka semoga bisa tergambarkan https://t.co/3Q7ffPrIiY","1794741729502925202","https://pbs.twimg.com/media/GOg0AyEXEAAZYyP.png","dadakanbanget","in","Jakarta, Indonesia","0","1","1","https://x.com/rikigusma/status/1794741729502925202","105432036","rikigusma"
"1795251489872777652","Tue May 28 00:31:24 +0000 2024","7","Pagi2 dibuat ksel gaush naik jaklingko klo diminta tolong tap in doang kga mau gua sumpahin rejeki lu mandek bu! ","1795251489872777652","","","in","DKI Jakarta, Indonesia","0","2","0","https://x.com/masrwmgn/status/1795251489872777652","1522785205899214848","masrwmgn"
"1792206594668990727","Sun May 19 14:52:04 +0000 2024","72","Selamat Hari Pentakosta Hari pencurahan Roh Kudus️ ngomong2 Roh Kudus gw mau kesaksian singkat disini. Kejadiannya udh lama sekitar stahun lalu jd w naik jaklingko dari daerah kbn jeruk mau ke daerah meruya bkn hari kuliah n lagi ga buru2 jd yaudah lumayan hemat drpada gjk https://t.co/206St83TuB","1792206594668990727","https://pbs.twimg.com/media/GN8yU98bMAAdgM7.jpg","","in","Jakarta , Indonesia","0","6","1","https://x.com/kvthanawich/status/1792206594668990727","1233422316605988865","kvthanawich"
